RoomNo,Day,StartTime,EndTime,CourseName,FacultyName,Year,Department,Section
LT-1,Monday,08:00,08:55,Career Skills (Verbal),Ms. Shweta Bajaj,2nd Year,CSE,A
LT-1,Monday,08:55,09:50,TCS-403,Dr. Hemant Singh Pokhariya,2nd Year,CSE,A
B.Tech. Block Lab-1,Monday,10:10,11:05,Microprocessors Lab (G1),Dr. Hemant Singh Pokhariya,2nd Year,CSE,A
Lab-5,Monday,10:10,11:05,Programming in Java Lab (G2),Mr. Kireet Joshi & Mr. Gulshan,2nd Year,CSE,A
LT-1,Monday,12:00,12:55,TCS-402,Dr. Vikas Tripathi,2nd Year,CSE,A
New Audi GEHU 5th Floor,Monday,13:55,14:50,TCS-409,Mr. Akshay Rajput,2nd Year,CSE,A
New Audi GEHU 5th Floor,Monday,15:10,16:00,TCS-409,Mr. Akshay Rajput,2nd Year,CSE,A
LT-8,Tuesday,08:00,08:55,Career Skills (Soft Skills),Ms. Shweta Bajaj,2nd Year,CSE,A
LT-8,Tuesday,08:55,09:50,TCS-402,Dr. Vikas Tripathi,2nd Year,CSE,A
LT-1,Tuesday,10:10,11:05,TCS-408,Dr. D.R. Gangodkar,2nd Year,CSE,A
LT-1,Tuesday,11:05,12:00,TCS-408,Dr. D.R. Gangodkar,2nd Year,CSE,A
LT-1,Tuesday,13:00,13:55,TCS-403,Dr. Hemant Singh Pokhariya,2nd Year,CSE,A
LT-1,Tuesday,13:55,14:50,TCS-403,Dr. Hemant Singh Pokhariya,2nd Year,CSE,A
New Audi GEHU 5th Floor,Tuesday,15:10,16:00,TCS-409,Mr. Akshay Rajput,2nd Year,CSE,A
LT-1,Wednesday,08:00,08:55,Career Skills (QAR),Mr. Abhinav Sharma,2nd Year,CSE,A
LT-1,Wednesday,08:55,09:50,TCS-402,Dr. Vikas Tripathi,2nd Year,CSE,A
LT-1,Wednesday,10:10,11:05,TCS-408,Dr. D.R. Gangodkar,2nd Year,CSE,A
LT-1,Wednesday,11:05,12:00,TCS-408,Dr. D.R. Gangodkar,2nd Year,CSE,A
Online/Swayam,Wednesday,13:00,13:55,TCS-433 (Through Swayam),Mr. Siddhant Thapliyal,2nd Year,CSE,A
